affirmer,Auditory,3.211
affix,Haptic,2.857
affront,Auditory,2.818
afghan,Visual,3.688
aflame,Visual,3.765
aflutter,Interoceptive,3.923
aforementioned,Auditory,2.438
afraid,Interoceptive,4.357
afro,Visual,4.412
afterlife,Interoceptive,1.579
aftershave,Olfactory,3.778
aftershock,Interoceptive,2.947
aftertaste,Gustatory,4.353
afterworld,Interoceptive,1.706
age,Visual,3.812
aged,Visual,3.714
agent,Visual,3.647
aggravated,Interoceptive,3.556
aggravating,Interoceptive,3.118
aggravatingly,Auditory,2.688
aggravation,Interoceptive,3.389
aggression,Visual,3.9
aggressive,Interoceptive,3.278
aggressiveness,Visual,3.611
aggrieve,Interoceptive,2
aggrieved,Interoceptive,2.909
aggrievedly,Interoceptive,2.083
aghast,Interoceptive,2.722
aging,Visual,3.8
agitate,Auditory,2.625
agitated,Interoceptive,3.579
agitatedly,Interoceptive,3.765
agitation,Interoceptive,4.211
agitator,Auditory,3.067
aglow,Visual,4.375
agnostic,Auditory,2.412
agnosticism,Interoceptive,2
agonize,Interoceptive,3.947
agonizing,Interoceptive,3.053
agonizingly,Interoceptive,3.059
agony,Interoceptive,3.579
agoraphobia,Interoceptive,3.462
agoraphobic,Interoceptive,2.538
agree,Auditory,2.941
agreeability,Auditory,2.75
agreeable,Auditory,2.737
agreeableness,Auditory,2.6
agreed,Auditory,3.158
agreeing,Auditory,3.647
agreement,Auditory,3.579
agricultural,Visual,3.611
ahem,Auditory,3.489
ahoy,Auditory,3.514
aids,Interoceptive,1.65
ailment,Interoceptive,3.417
aim,Visual,3.947
air,Haptic,2.789
air bag,Visual,3.667
air base,Visual,3.773
air conditioner,Visual,3.812
air conditioning,Haptic,3.263
air crew,Visual,3.81
air filter,Visual,3.632
air flow,Haptic,3
air force,Visual,4.235
air freshener,Olfactory,4.562
air hostess,Visual,3.8
air mattress,Visual,4.421
air pollution,Olfactory,3.81
air pressure,Haptic,1.909
air rifle,Visual,4
air transport,Visual,3.941
air travel,Visual,4.056
airbase,Visual,4.125
airbed,Visual,3.6
airbrush,Visual,4
aircraft,Visual,4.5
aircraft carrier,Visual,4.381
aircrew,Visual,4.412
airfield,Visual,4.2
airflow,Haptic,3.412
airless,Interoceptive,2.625
airline,Visual,3.941
airliner,Visual,3.938
airman,Visual,3.812
airpark,Visual,4.067
airplane,Visual,4.167
airplay,Auditory,3
airport,Visual,4.688
airport terminal,Visual,4.222
airshaft,Visual,3.75
airship,Visual,4.222
airshow,Visual,4.2
airsick,Interoceptive,3.294
airsickness,Interoceptive,3.188
airspace,Visual,4.053
airstream,Haptic,2.941
airstrip,Visual,3.95
airwave,Auditory,2.95
airway,Interoceptive,1.6
airy,Haptic,1.889
aisle,Visual,3.889
ajar,Visual,4
alabaster,Visual,4
alarm,Auditory,4.1
alarm clock,Auditory,4.647
alarmclock,Auditory,4.353
alarmed,Interoceptive,3.562
alarming,Interoceptive,2.688
alarmingly,Interoceptive,2.714
alarmist,Auditory,2.611
albatross,Visual,4
albino,Visual,3.737
album,Auditory,4.056
alcohol,Gustatory,4.167
alcoholically,Gustatory,1.95
alcove,Visual,4.067
ale,Gustatory,3.75
alert,Auditory,3.526
alertly,Interoceptive,3.105
alertness,Interoceptive,4
alfalfa,Gustatory,3.154
algae,Visual,3.667
algebra,Visual,3.842
alibi,Auditory,4.2
alienate,Interoceptive,2.688
alight,Visual,4.077
alignment,Visual,4.167
alike,Visual,3.895
alikeness,Visual,3.933
alive,Interoceptive,3.619
aliveness,Visual,3.941
alkaline,Gustatory,1.769
alkalinity,Gustatory,1.333
allegation,Auditory,3.812
allege,Auditory,2.882
alleged,Auditory,3
allegedly,Auditory,2.474
allegiance,Auditory,2.3
allegorical,Auditory,2.538
allegorically,Auditory,2.154
allegory,Auditory,3.231
allergen,Interoceptive,4.316
allergenic,Interoceptive,2.688
allergic,Interoceptive,2.882
allergy,Interoceptive,4.278
alleviate,Interoceptive,2.571
